project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado
ACR570,Forest Carbon Works Rowan Family Forest Project,United States,forest,american-carbon-registry,active,36742.0,36742.0,0.0
GLD7692,VPA 28 Coastal Kenya Borehole Rehabilitation Project,Kenya,energy-efficiency,gold-standard,unknown,36658.0,36864.0,206.0
VCS32,Luara Ceramic Fuel Switching Project,Brazil,fuel-switching,verra,unknown,36562.0,54956.0,18394.0
GLD12017,Smokeless Energy efficient cookstoves distribution in Rural India,India,fuel-switching,gold-standard,unknown,36551.0,36551.0,0.0
ACR686,Tradewater ODS 44,United States,ghg-management,american-carbon-registry,completed,36506.0,89712.0,53206.0
GLD7690,GS7591 VPA 35 Zambian Central Province Safe Water,Zambia,energy-efficiency,gold-standard,unknown,36453.0,36453.0,0.0
ACR503,A-Gas 2019-9,United States,ghg-management,american-carbon-registry,completed,36444.0,136444.0,100000.0
GLD7649,GS7591 VPA 29 Central Mozambique Safe Water Programme,Mozambique,energy-efficiency,gold-standard,unknown,36402.0,36402.0,0.0
VCS1372,Saf I Hepp,Türkiye,renewable-energy,verra,registered,36291.0,38282.0,1991.0
GLD2713,GS1354 Vietnam Small Hydro PoA - Nam Chim 1A Hydropower Project,Vietnam,renewable-energy,gold-standard,unknown,36281.0,36281.0,0.0
ACR893,Tradewater - Chile 1,France,ghg-management,american-carbon-registry,completed,36227.0,40402.0,4175.0
GLD11193,CPA 008 – Charcoal Stoves in Kenya,Kenya,fuel-switching,gold-standard,unknown,36194.0,82298.0,46104.0
GLD11879,CPA 056 - Charcoal Stoves in Kenya,Kenya,fuel-switching,gold-standard,unknown,36158.0,38658.0,2500.0
GLD12123,GS10818 - Dissemination of Improved Cookstoves in India by Greenway - Dissemination of Improved Cookstoves in Karnataka by Greenway - VPA016,India,fuel-switching,gold-standard,unknown,36153.0,36153.0,0.0
ACR528,Advanced Refrigeration CAL - ARS 002B,United States,ghg-management,american-carbon-registry,completed,36105.0,41381.0,5276.0
GLD11209,Production and sale of efficient cookstoves in the urban areas of Maputo Province,Mozambique,fuel-switching,gold-standard,unknown,36093.0,91830.0,55737.0
VCS3944,Jinmu AWMS GHG Mitigation Project in Liaoning Province,China,ghg-management,verra,registered,35892.0,35892.0,0.0
VCS2417,Distribution of Improved cook stove - Phase 13,India,fuel-switching,verra,registered,35858.0,35858.0,0.0
VCS994,"TIST Program in India, VCS-001",India,forest,verra,unknown,35837.0,191743.0,155906.0
VCS3078,Puyang County Rural MSW Landfill Site LFG Pollution Treatment and Comprehensive Utilization Project,China,ghg-management,verra,registered,35761.0,35761.0,0.0
ACR722,North Florida Land Trust Forest Conservation,United States,forest,american-carbon-registry,registered,35713.0,35713.0,0.0
VCS1137,"21 MW Wind energy farm at Palladam, TamilNadu by HZL",India,renewable-energy,verra,completed,35641.0,129912.0,94271.0
VCS1764,"Reforestation and Restoration of degraded mangrove lands, sustainable livelihoods and community development in Myanmar",Myanmar,land-use,verra,unknown,35600.0,211636.0,176036.0
VCS2525,Ziyang LFG Power Generation Project,China,ghg-management,verra,registered,35598.0,160657.0,125059.0
GLD10901,Up Energy Improved Cookstoves Programme Uganda – CPA No 003,Uganda,fuel-switching,gold-standard,unknown,35506.0,90770.0,55264.0
GLD7587,Household and commercial biogas plants in Kenya,Kenya,ghg-management,gold-standard,unknown,35481.0,70224.0,34743.0
GLD11437,Installation of Household biogas plants in India,India,ghg-management,gold-standard,unknown,35429.0,116308.0,80879.0
ACR594,CMMC1,United States,ghg-management,american-carbon-registry,active,35383.0,36373.0,990.0
CAR516,Resource Recovery Landfill,United States,ghg-management,climate-action-reserve,registered,35208.0,47930.0,12722.0
VCS2537,Gansu Gaotai Biogas Recovery and Utilization Project,China,ghg-management,verra,registered,34830.0,35332.0,502.0
CAR996,Farm Power Misty Meadow Anaerobic Digester,United States,ghg-management,climate-action-reserve,registered,34807.0,146200.0,111393.0
ACR600,Advanced Refrigeration CAN - ARS 004C,United States,ghg-management,american-carbon-registry,completed,34725.0,34725.0,0.0
GLD12253,Improved Cookstove and Safe Water Programme – Kenya - VPA 51,Kenya,energy-efficiency,gold-standard,unknown,34723.0,34723.0,0.0
