project_id,name,country,category,registry,status,volume_disponivel,total_emitido,total_aposentado,vintage,idade_estimada,fator_status,fator_volume,fator_volume_norm,idade_norm,fator_idade_norm,opportunity_score
CAR1351,Sangre de Cristo - ASRTulancingo,Mexico,forest,climate-action-reserve,registered,83.0,1107.0,1024.0,2021.0,4.0,1.0,83.0,1.9944082210393273e-06,0.13043478260869565,0.8695652173913043,0.647826685278988
CAR1543,Ejido Malila,Mexico,forest,climate-action-reserve,registered,79.0,1048.0,969.0,2021.0,4.0,1.0,79.0,1.8959189261731875e-06,0.13043478260869565,0.8695652173913043,0.6478266557321996
CAR1527,Captura de carbono forestal en el ejido San Miguel Sultepec,Mexico,forest,climate-action-reserve,registered,42.0,558.0,516.0,2021.0,4.0,1.0,42.0,9.84892948661396e-07,0.13043478260869565,0.8695652173913043,0.6478263824244064
CAR1526,Captura de carbono forestal en el ejido Nuevo San Juan Atezcapan,Mexico,forest,climate-action-reserve,registered,39.0,522.0,483.0,2021.0,4.0,1.0,39.0,9.110259775117915e-07,0.13043478260869565,0.8695652173913043,0.647826360264315
CAR1529,Captura de carbono forestal en el ejido Capilla Vieja,Mexico,forest,climate-action-reserve,registered,26.0,352.0,326.0,2021.0,4.0,1.0,26.0,5.909357691968377e-07,0.13043478260869565,0.8695652173913043,0.6478262642372525
VCS1958,My Son - Hoan Loc Viet Solar Energy Project,Vietnam,renewable-energy,verra,registered,22.0,229817.0,229795.0,2021.0,4.0,1.0,22.0,4.924464743306981e-07,0.13043478260869565,0.8695652173913043,0.647826234690464
CAR1528,Captura de carbono forestal en el ejido La Candelaria,Mexico,forest,climate-action-reserve,registered,15.0,209.0,194.0,2021.0,4.0,1.0,15.0,3.200902083149538e-07,0.13043478260869565,0.8695652173913043,0.6478261829835842
VCS2348,Motion Energy EV Industry Charger Project,Australia,fuel-switching,verra,registered,13.0,128.0,115.0,2021.0,4.0,1.0,13.0,2.7084556088188397e-07,0.13043478260869565,0.8695652173913043,0.64782616821019
VCS1522,Soubre Hydropower Project,Cote d'Ivoire,renewable-energy,verra,registered,4664820.0,4967399.0,302579.0,2019.0,6.0,1.0,4664820.0,0.11485865887471894,0.21739130434782608,0.782608695652174,0.6475010759232853
VCS1931,Energising India using Solar Energy Projects,India,renewable-energy,verra,registered,2209154.0,3470882.0,1261728.0,2020.0,5.0,1.0,2209154.0,0.054394455683030515,0.17391304347826086,0.8260869565217391,0.6467531193136049
VCS2737,Reducing Gas Leakages within the Jalalabad Gas Distribution Network in Bangladesh,Bangladesh,ghg-management,verra,registered,2172757.0,2181179.0,8422.0,2020.0,5.0,1.0,2172757.0,0.0534982769667198,0.17391304347826086,0.8260869565217391,0.6464842656987115
